Respond-ent ID,StartDate,CompletedDate,Q1: To what extent do you think low oil prices impact the Alberta government's ability to budget?,Q2: How concerned are you about the $7B shortfall?,"Q3: Should government take action now, wait six months, or hold out for high oil prices?",Q4: Government needs:,Question 5 a) Cut spending,Question 5 b) Raise taxes and user fees,Question 5 c) Borrow money,Question 6 a) Reduce expenditures,Question 6 b) Raise taxes and user fees,Question 6 c) Run a deficit,"Q7: Are current tax rates in Alberta higher, above average or lower?",Q8: How important is it that AB taxes are lower?,Q9: In what ways can the government act to increase revenue without jeopardizing Alberta's competitive position?  (1 = selected; 0 = not selected),,,,,,,,,"Q10: If the government needs to increase its revenues through taxation, are there options you feel should NOT be considered?                                                                 (1 = selected; 0 = not selected)",,,,,,,Q11: Where would you tolerate cuts?  (1 = Selected; 0 = Not Selected),,,,,,,,,,,Q12: And are there options you feel should NOT be touched?  (1 = Selected; 0 = Not selected),,,,,,,,,,,"Q13: Indicate whether you Don't Know, Disagree or Agree.  (1 =  Don't know; 2 = Disagree; 3 = Agree)",,,,,,Q15: Years you've lived in AB,Q16: What part of the province do you live in?
7249661,2015.02.06 7:48,2015.02.06 7:56,2,2,3,2,2,1,3,50,25,25,2,2,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,3,2,3,2,3,2,2,4
7249662,2015.02.06 7:48,2015.02.06 8:1,1,1,2,2,1,1,1,50,50,0,1,2,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,3,3,3,2,2,3,3,4
7249663,2015.02.06 7:48,2015.02.06 7:57,4,3,3,2,1,1,4,10,0,90,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,2,3,3,2,2,2
7249666,2015.02.06 7:48,2015.02.06 8:4,1,1,2,3,1,3,3,10,20,70,2,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,3,3,3,3,3,2,3,5
7249673,2015.02.06 7:49,2015.02.06 8:4,2,2,2,1,1,4,4,0,50,50,2,3,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,3,2,3,3,3,2,3,1
7249675,2015.02.06 7:49,2015.02.06 7:53,1,1,1,1,2,4,4,5,30,65,3,3,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,3,3,3,3,3,2,2,4
7249680,2015.02.06 7:50,2015.02.06 8:2,1,2,2,2,1,4,3,60,20,20,3,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,3,2,3,3,3,2,2,5
7249687,2015.02.06 7:50,2015.02.06 8:17,1,2,3,2,1,3,4,20,10,70,3,2,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,3,2,3,3,3,2,3,4
7249689,2015.02.06 7:50,2015.02.06 8:10,1,1,1,1,1,3,1,25,50,25,3,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,3,2,3,2,2,2,3,4
7249692,2015.02.06 7:50,2015.02.06 7:54,3,2,1,1,1,4,3,5,65,30,3,4,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,3,3,3,3,3,1,2,5
7249694,2015.02.06 7:50,2015.02.06 9:32,2,2,2,2,2,3,3,60,20,20,3,2,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,3,3,3,3,3,2,2,4
7249697,2015.02.06 7:51,2015.02.06 8:14,1,1,1,3,4,4,1,50,50,0,3,3,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,3,3,3,3,3,2,2,5
7249698,2015.02.06 7:51,2015.02.06 7:58,2,2,2,2,3,3,3,30,40,30,3,3,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,3,3,1,3,1
7249700,2015.02.06 7:52,2015.02.06 8:1,1,1,3,2,4,1,3,75,0,25,3,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2,2,2,2,2,4
7249701,2015.02.06 7:51,2015.02.06 8:15,2,2,2,2,2,1,3,50,0,50,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,3,1,3,3,3,2,3,2
7249703,2015.02.06 7:55,2015.02.06 8:1,1,2,2,2,1,2,3,10,25,65,3,2,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,3,2,3,3,3,2,2,4
7249704,2015.02.06 7:53,2015.02.06 7:57,1,1,1,2,3,4,1,45,45,10,3,2,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,3,3,3,2,2,3,3,1
7249706,2015.02.06 7:51,2015.02.06 7:58,2,2,3,2,1,3,1,25,50,25,3,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,1,1,1,1,1
7249710,2015.02.06 7:51,2015.02.06 8:12,1,1,1,2,1,1,1,100,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,3,3,2,2,3,3,2
7249716,2015.02.06 7:51,2015.02.06 8:0,1,2,2,1,1,4,2,5,95,0,1,4,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3,2,3,2,2,3
7249717,2015.02.06 7:51,2015.02.06 8:3,1,1,1,3,3,3,1,70,30,0,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,2,2,3,3,5
7249718,2015.02.06 7:51,2015.02.06 8:1,1,1,1,2,4,2,3,80,20,0,2,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,3,3,3,2,2,3,5
7249721,2015.02.06 7:52,2015.02.06 8:8,1,1,1,2,1,3,3,30,30,40,3,2,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,3,3,1,1,1,2,5
7249723,2015.02.06 7:52,2015.02.06 8:10,1,1,1,3,2,3,1,50,50,0,3,3,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,3,3,3,2,2,3,3,3
7249729,2015.02.06 7:52,2015.02.06 8:2,1,1,1,1,1,2,2,50,20,30,3,2,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,3,3,3,3,3,2,2,5
7249730,2015.02.06 7:52,2015.02.06 8:8,2,3,2,1,1,1,4,20,0,80,2,2,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,3,3,3,2,2,1
7249731,2015.02.06 7:52,2015.02.06 7:58,1,1,1,1,2,4,1,20,70,10,3,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,2,3,2,3,4
7249732,2015.02.06 7:52,2015.02.06 8:13,1,1,1,3,4,1,1,100,0,0,2,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,3,3,3,3,3,3,3,5
7249733,2015.02.06 7:52,2015.02.06 7:59,1,2,1,2,1,2,3,50,25,25,3,2,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,1,3,3,3,2,2,5
7249734,2015.02.06 7:52,2015.02.06 8:12,1,1,2,2,2,4,3,20,50,30,3,3,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,3,3,2,2,3
7249736,2015.02.06 7:52,2015.02.06 8:3,2,2,2,2,1,2,2,50,5,45,2,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,3,1,3,2,3,1,2,1
7249739,2015.02.06 7:52,2015.02.06 8:7,1,2,1,3,2,3,3,15,25,60,3,2,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,2,3,2,3,3,2,3,5
7249740,2015.02.06 7:53,2015.02.06 8:33,2,2,3,3,4,1,1,90,5,5,2,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,2,1,2,2,2,2,2,5
7249757,2015.02.06 7:53,2015.02.06 8:6,2,1,1,2,4,1,1,100,0,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,3,3,3,2,2,3,3,4
7249759,2015.02.06 7:53,2015.02.06 7:56,2,2,1,2,4,1,2,100,0,0,2,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,2,2,3,2,5
7249760,2015.02.06 7:53,2015.02.06 8:1,1,3,1,3,4,3,1,80,20,0,3,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,3,3,3,2,2,2,5
7249762,2015.02.06 7:54,2015.02.06 8:6,1,1,1,2,2,1,3,75,0,25,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,3,3,3,3,1,3,4
7249763,2015.02.06 7:54,2015.02.06 7:59,1,2,2,2,2,3,2,40,30,30,2,2,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,3,3,3,2,2,3,2,4
7249770,2015.02.06 7:54,2015.02.06 8:6,1,2,1,1,2,4,3,10,65,25,3,4,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,3,3,3,3,3,2,2,5
7249773,2015.02.06 7:54,2015.02.06 8:9,2,2,3,3,2,3,3,33,33,34,2,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,3,1,3,2,2,2
7249774,2015.02.06 7:54,2015.02.06 8:1,2,2,1,2,3,2,3,75,10,15,3,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2,2,3,3,2,2,5
7249776,2015.02.06 7:55,2015.02.06 8:2,2,3,2,2,2,2,3,50,0,50,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3,1,1,3,3,1,2,1
7249778,2015.02.06 7:55,2015.02.06 8:36,1,2,2,1,2,3,4,20,20,60,2,3,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,3,1,3,3,3,2,2,2
7249779,2015.02.06 7:55,2015.02.06 8:9,1,3,3,1,1,4,3,10,60,30,3,4,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,3,2,3,3,3,2,2,4
7249780,2015.02.06 7:55,2015.02.06 8:3,1,1,1,1,1,3,2,30,40,30,3,2,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,3,3,3,1,2,2
7249783,2015.02.06 7:55,2015.02.06 8:22,2,1,2,2,4,3,1,90,8,2,3,2,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,3,2,2,3,3,4
7249784,2015.02.06 7:55,2015.02.06 8:12,1,1,1,2,2,2,3,25,25,50,2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,3,3,3,3,2,2,2
7249786,2015.02.06 7:55,2015.02.06 8:4,2,2,2,2,3,1,2,90,0,10,2,2,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,3,3,3,2,3,2,2,5
7249789,2015.02.06 7:55,2015.02.06 8:10,2,3,2,3,3,2,4,40,10,50,1,3,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,2,2,2,3,3,2,3,5
7249793,2015.02.06 7:55,2015.02.06 9:6,2,1,2,1,2,3,3,30,50,20,2,2,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,3,1,3,3,1,1,3,2
7249794,2015.02.06 7:55,2015.02.06 13:50,1,1,1,3,3,3,1,50,50,0,3,2,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,3,1,1,1,2,5
7249795,2015.02.06 7:55,2015.02.06 8:7,3,1,1,2,4,1,1,90,10,0,3,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,3,3,3,2,2,3,2,2
7249802,2015.02.06 7:56,2015.02.06 8:7,2,2,2,1,2,4,3,10,80,10,3,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,2,3,3,3,3,2,2,4
7249803,2015.02.06 10:2,2015.02.06 10:23,2,2,2,1,1,4,3,15,70,15,2,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,1,3,3,3,1,3,5
7249805,2015.02.06 7:56,2015.02.06 8:6,2,1,1,2,1,3,2,20,50,30,1,4,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,2,3,1,3,2,2,1
7249807,2015.02.06 7:57,2015.02.06 8:6,1,2,1,2,1,2,2,30,20,50,2,2,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,3,3,3,3,3,1,3,1
7249810,2015.02.06 7:57,2015.02.06 8:14,1,2,1,3,3,3,3,25,50,25,2,3,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,3,3,3,2,2,5
7249811,2015.02.06 7:57,2015.02.06 8:17,1,1,1,2,2,3,1,75,10,15,1,2,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,3,3,3,1,3,2,3,4
7249812,2015.02.06 7:57,2015.02.06 8:8,1,2,1,3,1,3,3,50,20,30,3,3,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,3,2,3,3,2,3,5
7249830,2015.02.06 7:57,2015.02.06 8:2,1,1,1,1,1,3,1,50,50,0,2,3,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,3,3,3,2,2,1,2,4
7249832,2015.02.06 7:57,2015.02.06 8:5,3,2,2,2,1,3,3,20,20,60,3,2,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,3,1,3,3,3,2,2,4
7249833,2015.02.06 7:57,2015.02.06 8:8,1,2,2,2,1,2,3,0,20,80,3,3,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,2,2,3,3,2,3,4
7249835,2015.02.06 7:57,2015.02.06 9:24,1,2,2,3,3,2,3,60,10,30,3,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,3,3,3,2,2,5
7249836,2015.02.06 7:58,2015.02.06 9:14,1,2,1,3,3,3,3,35,35,30,3,3,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,3,2,1,3,3,2,1,4
7249841,2015.02.06 7:57,2015.02.06 8:52,2,2,2,2,3,2,2,100,0,0,1,2,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,3,1,1,1,2,4
7249843,2015.02.06 7:57,2015.02.06 8:24,1,1,2,2,3,2,3,80,20,0,2,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,2,1,3,2,2,3,2,4
7249845,2015.02.06 7:58,2015.02.06 8:15,2,3,2,1,2,4,1,30,60,10,3,3,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,3,2,3,3,3,2,2,5
7249847,2015.02.06 7:58,2015.02.06 8:3,2,2,2,1,2,2,2,40,30,30,2,3,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,3,3,3,3,3,2,3,3
7249848,2015.02.06 7:58,2015.02.06 8:3,2,1,2,2,1,2,3,20,35,45,1,3,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,3,1,3,3,3,2,2,4
7249850,2015.02.06 7:58,2015.02.06 8:25,1,2,1,1,3,3,3,20,50,30,3,3,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,3,3,3,3,3,1,2,5
7249851,2015.02.06 7:58,2015.02.06 8:9,1,1,1,3,1,4,3,20,40,40,3,3,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,3,2,1,3,2,2,5
